incident_id,created_date,system_affected,priority,status,root_cause,resolution_hours,sla_breached
INC-3001,2026-01-08,Hotel Property Mgmt System,High,Resolved,Hardware Failure,2.64,False
INC-3002,2026-01-12,Server - Backup,Medium,Resolved,Configuration Error,2.39,False
INC-3003,2026-02-23,Server - Backup,Medium,Resolved,Network Connectivity,7.64,False
INC-3004,2026-01-06,Ride Control - Water Rides,Low,Resolved,Hardware Failure,14.88,False
INC-3005,2026-01-19,CCTV - Park Zone B,High,In Progress,Software Bug,,False
INC-3006,2026-02-19,Server - Primary,Medium,Resolved,Human Error,4.61,False
INC-3007,2026-02-21,WiFi - Park West,Medium,Open,Network Connectivity,,False
INC-3008,2026-01-08,Server - Primary,Medium,In Progress,Software Bug,,False
INC-3009,2026-01-07,Ride Control - Water Rides,Medium,Resolved,Configuration Error,4.96,False
INC-3010,2026-01-08,POS - Merchandise,Medium,Resolved,Configuration Error,5.71,False
INC-3011,2026-02-03,POS - Food & Beverage,Medium,Resolved,Network Connectivity,7.82,False
INC-3012,2026-02-16,Ride Control - Coasters,High,Resolved,Capacity/Overload,1.07,False
INC-3013,2026-01-02,Ticketing Gates,Medium,Open,Human Error,,False
INC-3014,2026-02-28,POS - Merchandise,Medium,Open,Hardware Failure,,False
INC-3015,2026-01-10,POS - Merchandise,Low,Open,Hardware Failure,,False
INC-3016,2026-01-05,CCTV - Park Zone A,Medium,Resolved,Hardware Failure,7.86,False
INC-3017,2026-02-06,POS - Food & Beverage,High,Resolved,Configuration Error,2.08,False
INC-3018,2026-02-13,CCTV - Park Zone A,Medium,In Progress,Human Error,,False
INC-3019,2026-01-03,CCTV - Park Zone B,Critical,Resolved,Capacity/Overload,1.57,True
INC-3020,2026-02-18,Hotel Property Mgmt System,Medium,Resolved,Hardware Failure,3.09,False
INC-3021,2026-02-09,POS - Merchandise,Medium,Open,Network Connectivity,,False
INC-3022,2026-01-18,WiFi - Park West,Low,Resolved,Configuration Error,10.15,False
INC-3023,2026-01-08,Ticketing Gates,High,Resolved,Human Error,1.9,False
INC-3024,2026-02-09,WiFi - Park East,Low,In Progress,Network Connectivity,,False
