System Affected,Root Cause,Occurrence Count,Priority Flag
POS - Merchandise,Network Connectivity,8,MEDIUM
Server - Backup,Network Connectivity,7,MEDIUM
POS - Food & Beverage,Configuration Error,6,MONITOR
WiFi - Park East,Network Connectivity,6,MONITOR
WiFi - Hotels,Network Connectivity,6,MONITOR
WiFi - Park West,Network Connectivity,5,MONITOR
POS - Merchandise,Configuration Error,5,MONITOR
Ride Control - Coasters,Configuration Error,5,MONITOR
Hotel Property Mgmt System,Network Connectivity,5,MONITOR
WiFi - Park West,Configuration Error,4,MONITOR
Ticketing Gates,Network Connectivity,4,MONITOR
CCTV - Park Zone B,Network Connectivity,4,MONITOR
Employee Devices,Hardware Failure,4,MONITOR
Hotel Property Mgmt System,Configuration Error,4,MONITOR
Employee Devices,Configuration Error,4,MONITOR
Hotel Property Mgmt System,Hardware Failure,3,MONITOR
Ride Control - Water Rides,Hardware Failure,3,MONITOR
Ride Control - Water Rides,Configuration Error,3,MONITOR
Ride Control - Coasters,Capacity/Overload,3,MONITOR
Ticketing Gates,Human Error,3,MONITOR
CCTV - Park Zone A,Human Error,3,MONITOR
Employee Devices,Vendor/Third-Party,3,MONITOR
WiFi - Park West,Software Bug,3,MONITOR
CCTV - Park Zone A,Network Connectivity,3,MONITOR
POS - Merchandise,Software Bug,3,MONITOR
WiFi - Park East,Software Bug,3,MONITOR
CCTV - Park Zone A,Configuration Error,3,MONITOR
